# x_m, y_m, w_tr_left_m, w_tr_right_m
3.337924866347122155e+00,4.816971929157491394e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.344097688081376418e+00,4.574972314811547869e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.349951883520635665e+00,4.332182229067151336e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.355486441167180978e+00,4.088643621602991995e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.360700404750850190e+00,3.844398571428600531e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.365592873394259499e+00,3.599489279613852788e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.370163001768462063e+00,3.353958061997427964e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.374410000239003615e+00,3.107847341875371039e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.378333135002357324e+00,2.861199642671158339e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.381931728212711263e+00,2.614057580588410312e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.385205158099088507e+00,2.366463857247585456e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.388152859072776302e+00,2.118461252307944354e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.390774321825050563e+00,1.870092616075997582e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.393069093415176152e+00,1.621400862101743945e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.395036777348663826e+00,1.372428959764024625e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.396677033645780330e+00,1.123219926846169697e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.397989578900287633e+00,8.738168221033407179e-02,5.999999999999999778e-01,5.999999999999999778e-01
3.398974186328413527e+00,6.242627378227556117e-02,5.999999999999999778e-01,5.999999999999999778e-01
3.399630685808032737e+00,3.746007923781173587e-02,5.999999999999999778e-01,5.999999999999999778e-01
3.399958963908062959e+00,1.248741227795791518e-02,5.999999999999999778e-01,5.999999999999999778e-01
3.399958963908062959e+00,-1.248741227795749191e-02,5.999999999999999778e-01,5.999999999999999778e-01
3.399630685808032737e+00,-3.746007923781173587e-02,5.999999999999999778e-01,5.999999999999999778e-01
3.398974186328413527e+00,-6.242627378227513790e-02,5.999999999999999778e-01,5.999999999999999778e-01
3.397989578900287633e+00,-8.738168221033407179e-02,5.999999999999999778e-01,5.999999999999999778e-01
3.396677033645780330e+00,-1.123219926846169697e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.395036777348663826e+00,-1.372428959764020462e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.393069093415176152e+00,-1.621400862101743945e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.390774321825050563e+00,-1.870092616075993419e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.388152859072776302e+00,-2.118461252307944354e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.385205158099088507e+00,-2.366463857247585456e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.381931728212711263e+00,-2.614057580588405871e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.378333135002357324e+00,-2.861199642671158339e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.374410000239003615e+00,-3.107847341875367708e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.370163001768462063e+00,-3.353958061997424078e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.365592873394259499e+00,-3.599489279613852788e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.360700404750850190e+00,-3.844398571428596090e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.355486441167180978e+00,-4.088643621602991995e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.349951883520635665e+00,-4.332182229067151336e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.344097688081376862e+00,-4.574972314811543428e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.337924866347122155e+00,-4.816971929157491394e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.331434484868376344e+00,-5.058139259005273169e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.324627665064149085e+00,-5.298432635058699658e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.317505583028195648e+00,-5.537810539024772272e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.310069469325808811e+00,-5.776231610787296855e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.302320608781200484e+00,-6.013654655553166695e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.294260340255506403e+00,-6.250038650970038967e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.285890056415456506e+00,-6.485342754214279415e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.277211203492747860e+00,-6.719526309047821888e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.268225281034160545e+00,-6.952548852842835858e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.258933841642466245e+00,-7.184370123572944022e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.249338490708163718e+00,-7.414950066769729897e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.239440886132098907e+00,-7.644248842443435166e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.229242738039010518e+00,-7.872226831966586680e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.218745808482048609e+00,-8.098844644919348523e-01,5.999999999999999778e-01,5.999999999999999778e-01
